SizeRank,SizeRank,DisplayName,PrimaryPayerId,Other Names,Aliases IDs,OperatingStates,Programs,WebsiteUrl,Credentialing,Credentialing,Eligibility Checks,Patient Cost Estimates,Patient Cost Estimates,Submit Claims,Receive ERAs,Enroll to receive ERAs,ERA enrollment type,ERA enrollment timeline,CoverageTypes
1694,1694,Federated Mutual Insurance Company,13935,,13935,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
982,982,Choice Physicians Network (Nivano Physicians),CPNNP,,7069|9456|CPNNP,CA,COMMERCIAL,https://www.choicemg.com,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,medical
1494,1494,NEBA,99843,Kroger Dallas Health and Welfare Plan|National Employee Benefits Administrators|UFCW Local 1000|United Food and Commercial Workers Local 1000,11856|99843,,COMMERCIAL,https://www.nebainc.com,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,medical
2500,2500,Restaurant Reinsurance Limited,J1098,,J1098,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
2912,2912,Aspirus Medicare Advantage,36483,Aspirus Health Plan (Medicare Advantage),36483|4097|8840|ARCMS|ASPRS,,MEDICARE,https://www.aspirushealthplan.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,medical
1937,1937,California Eye Care New Century Health,NCH05,New Century Health,5292|NCH000001|NCH05,,COMMERCIAL,https://www.evolent.com,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,MULTI_STEP,HOURS,medical|vision
3130,3130,Dignity Health Management Services Organization,DHM02,DHMN - Preferrred IPA Hospital Risk|Dignity Health Management Services Organization (DHSMO),00058|1867|3920|DHM02,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,medical
2138,2138,MediView UTMB,UTMB3,MediView The University of Texas Medical Branch 3|Mediview UTMB Care UB,1286|RUTMH|U3TMB|UTMB3,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,medical
207,207,CareCentrix Wellcare,11350,,11350,,MEDICARE,https://www.carecentrix.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,dental|medical|vision
1427,1427,CHOC Children's Hospital Orange County Health Alliance,33065,Children's Hospital of Orange County Health Alliance|Rady Children's Hospital,00134|33065|6689|6792|CHOC1|SCH01,CA,,https://chochealthalliance.com,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,medical
651,651,Healthcare Management Administrators (HMA),HMA01,,00026|11084|5243|8920|HMA01|HMAWR,WA,,https://www.accesshma.com,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,dental|medical|vision
2003,2003,Alliance Alpha Care Gold,ADSL1,Alliance AlphaCare Gold|Alpha Data Systems|Team Choice AlphaCare Gold,7795|7952|ADSL1,,COMMERCIAL,http://www.alphadatasys.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,medical
2194,2194,Discover Re (Burger King),J1060,Discover Risk Evaluation (Burger King),J1060,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
980,980,VillageCareMAX,26545,Village Senior Services Corporation,14457|26545|26545MA|6834|7620,NY,MEDICARE,https://www.villagecaremax.org,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,dental|medical
3392,3392,Businessmen's Assurance (Nebraska),61301,,61301,,,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,dental
2073,2073,FairPrice,62956,Fair Price|FairPrice Healthcare,62956,,COMMERCIAL,https://www.yourfairprice.com,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,medical
2498,2498,Residential Services Group,J1097,,J1097,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
1154,1154,Christus Health Plan LA Exchange,52106,CHRISTUS Health Plan Texas Health Insurance Exchange|Christus Health Insurance Marketplace - Louisiana|Christus Health Insurance Marketplace - Texas|Christus Health Plan Health Insurance Exchange|Christus Health Plan Texas HIX,10696|15553|52106|7716|9657|CHPTX,LA|TX,COMMERCIAL,https://www.christushealthplan.org,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,dental|medical
62,62,Oxford,6111,Oxford Health Plans|UnitedHealthcare Oxford,06111|06111MA|10161|6111|6485|6549|OXFORD,CT|NJ|NY,,https://www.uhcprovider.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,dental|medical|vision
2693,2693,Lassen Municipal Utility District,53122,,53122,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,medical
2604,2604,Physicians Healthways IPA,PHIPA,Physicians HealthWays Independent Practice Association,PHIPA,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,medical
2198,2198,Esperanza IPA,EIPA8,Esperanza Independent Practice Association,EIPA8,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,medical
284,284,Highmark Wholecare,96938,Gateway Health Plan Dental|Scion Gateway Health Plan|Skygen USA,96938,PA,MEDICAID,https://www.highmark.com,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,ONE_CLICK,OVER_4_WEEKS,dental
1629,1629,University of Illinois at Chicago Division of Specialized Care for Children,37601,,37601|8800,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,medical|vision
2139,2139,National Farmers Union Property and Casualty Company,J1484,QBE General Casualty Company of Wisconsin|Regent Insurance Company QBE Doing Business As|Unigard Insurance Company QBE Doing Business As,J1484,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
3605,3605,iCircle Care of New York,33884,,33884,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,ONE_CLICK,DAYS,
972,972,Accident Fund Insurance Company of America,J1790,,J1790,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
339,339,Independence Blue Cross,54704,Independence Blue Cross - Medicare Advantage|Independence Blue Cross Dental Plan – Blueextrasm|Independence Blue Cross Pennsylvania|Independence Blue Cross Pennsylvania Personal Choice|Keystone Health Plan East,100337|10262|2781|3560|54704|54704MA|IBC01|PAIBCE|SX083,PA,COMMERCIAL|MEDICARE,https://www.ibx.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,dental|medical|vision
3091,3091,Delta Dental of Washington,91062,,10738|91062|DDWA,WA,,https://www.deltadentalwa.com,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,MULTI_STEP,OVER_4_WEEKS,dental
2446,2446,Mitsui Sumitomo Insurance Group,J1692,,J1692,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
999,999,CommuniCare Advantage,34525,,34525|5095|70022|9144,IN|MD|OH,MEDICARE,https://communicare-advantage.com,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,MULTI_STEP,HOURS,medical
1408,1408,Premier,34158,"Contigo Health|Health Design Plus (Hudson, Ohio)",16569|2898|34158|7552|HLTDS1,,COMMERCIAL,https://premierinc.com,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,MULTI_STEP,HOURS,medical
319,319,Next Generation MyCare Ohio - Molina,21586,Next Generation MyCare Molina Healthcare of Ohio Inc.,0021586|16733|21586|SKOH18,OH,MEDICAID,https://www.molinahealthcare.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,MULTI_STEP,DAYS,dental|medical|vision
3250,3250,ViCare Health,VCH01,Vicare Health|Wellpoint FULL DUAL Advantage,VCH01,,,https://www.vicarehealth.com,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,medical
449,449,Maryland Medicare Part A,12010,,12010,MD,MEDICARE,https://www.cms.gov,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,MULTI_STEP,WEEKS,medical
26,26,Pacific Health Alliance Anthem HMO,PHA02,Pacific Health Alliance Anthem Health Maintenance Organization,PHA02,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,medical
3450,3450,Physician Health Partners,PHPMD,,PHPMD,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,medical
1477,1477,American Worker Health Plus,37322,Companion Life,3273|37322|3989,,COMMERCIAL,https://theamericanworker.com,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,medical
231,231,Blue Cross and Blue Shield of Montana,G00751,BCBSMT|Blue Cross Blue Shield Montana|Blue Cross and Blue Shield of Montana - Medicare Advantage|BlueCross BlueShield of Montanta,00751|10516|7450|BCBSMT|CBMT1|G00751|MTBCBS|MTBLS|TLU06,MT,COMMERCIAL|MEDICARE,https://www.bcbsmt.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,dental|medical|vision
2141,2141,PBS Oregon Alaska Industrial Hardware,25449,Providence Business Services Oregon Alaska Industrial Hardware,25449,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,dental|medical
1851,1851,Clear Health Alliance,CLEAR,,1095|12261|8123|CLEAR,FL,MEDICAID,https://www.clearhealthalliance.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
3144,3144,Triton Healthcare Partners,ZP6000,Triton Partners,ZP6000,,COMMERCIAL,https://tritonhealthcare.net,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,MULTI_STEP,HOURS,medical
3327,3327,Progressive Specialty Insurance Company,J1784,,J1784,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
2045,2045,Florida Health Administrators,86753,FHA-TPA|Florida Health Administrators Third-Party Administrator|The Assistance Fund,00039|7792|8539|86753|FHA01,,,https://fhatpa.net,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,medical
1565,1565,Imperial Insurance Companies,IICTX,IICTX|Imperial Insurance Company Texas,2073|7465|IICTX,TX,,https://imperialhealthplan.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,medical
335,335,EmblemHealth Plan,13551,EmblemHealth - Group Health Incorporated|GHI - New York|Vytra,10407|10616|10808|13551|2744|6509|EMBLEM|EMBLM|QTRDL|SQJIW,NY,,https://www.emblemhealth.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,dental|medical|vision
780,780,Providence Health Assurance Medicaid,77350,,5006|77350|8849|PHAMCD,,MEDICAID,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,MULTI_STEP,WEEKS,medical
543,543,BlueCross BlueShield of Alabama,00510BC,BCBS Alabama|BCBSAL|Blue Cross Blue Shield Alabama|Blue Cross Blue Shield Alabama Institutional|Blue Cross Blue Shield Alabama Professional|Blue Cross and Blue Shield of Alabama|Blue Cross of Alabama|BlueCross BlueShield of Alabama - Medicare Advantage|Credence,00510|00510BC|00510BS|00510DN|1002|10025|10609|12B54|2423|5558|ALBCSP|ALBLC|ALBLS|CBAL1|SB510|SB510MA|Z96002,AL,COMMERCIAL|MEDICARE,https://www.bcbsal.org,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,dental|medical|vision
2857,2857,MMM,PREMD,MMM Healthcare|Medicare y Mucho Más|PMC|Preferred Medicare Choice,10959|66059|PREMD|RP081|Z60056,PR,MEDICARE,https://www.mmm-pr.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
3036,3036,"Allianz of America, Inc. – Workers Compensation",DCVHG,"Allianz of America, Inc.",DCVHG,,WORKERS_COMPENSATION,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,INSTANT,medical
1388,1388,Reflect Health,31441,Angle Health|Coastal Administrative Services (CAS)|Firefly Health|S and S Healthcare Strategies|S&S HealthCare Strategies|S&S Healthcare|SS HEALTH-ICL 1227,10875|2518|31441|3740|CDSGP,,,https://www.reflecthealth.com,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,MULTI_STEP,HOURS,medical
3635,3635,Pomona Valley Hospital Medical Centre,PVHMC,,PVHMC,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,
1839,1839,SEIU Local 1 Cleveland Welfare Fund,20618,Service Employees International Union Local 1 Cleveland Welfare Fund,20618,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,medical
3649,3649,Surego Administrative Services,89207,,89207,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,
68,68,United HealthCare Community Plan Missouri,86050,United Healthcare Community Plan Missouri,11107|12242|1227|4527|86050|UHCMO,MO,MEDICAID,https://www.uhcprovider.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,dental|medical|vision
1624,1624,Insight Benefit Administrators,96436,Insight Benefit Administrators LLC|United Claim Solutions,3012|38255|8261|96436,,,https://insightba.net,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,medical
2868,2868,Nassau,10539,Central Reserve Life Insurance Company (Medicare Supplement)|Great American|Nassau Financial Group|Nassau Life Insurance Company of Kansas,10539|CRLMS|Z90023,,MEDICARE,https://nfg.com,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,dental|medical|vision
2520,2520,South Coast Area Transit (California),J1731,,J1731,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
2895,2895,KeyCare Advantage,KCMD1,KeyCare Maryland,3065|8467|KCMD1,MD,MEDICARE,https://keycareadvantage.com,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,medical
3301,3301,HealthSmart,J1481,,J1481,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
153,153,OSU Aetna Better Health,OSUAE,,OSUAE,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,medical
1479,1479,BeniComp IncentiCare,18151,BeniComp|Incenticare,18151|9200,,COMMERCIAL,https://www.benicomp.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,MULTI_STEP,HOURS,medical
664,664,SOMOS Innovation (Emblem Health),81336,SOMOS Independent Practice Association (Emblem Health)|Somos Independent Practice Association (Emblem Health),4072|81336|8816,,COMMERCIAL,https://somosinnovation.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,MULTI_STEP,HOURS,medical
686,686,PacificSource Medicare,20377,,11178|20377|20377MA|6147|PSMED,ID|MT|OR,MEDICARE,https://medicare.pacificsource.com,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,MULTI_STEP,WEEKS,dental|medical
2453,2453,NaphCare,58182,,58182|6208|NAPHC,,,https://www.naphcare.com,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,medical
2,2,Anthem Blue Cross and Blue Shield Virginia,423,"Anthem Blue Cross Blue Shield Virginia|Anthem Blue Cross Blue Shield Virginia (Medicaid Reclamation)|Anthem Blue Cross Blue Shield Virginia Dental|Anthem Blue Cross and Blue Shield Virginia - Medicare Advantage|Anthem HealthKeepers|Anthem Insurance Companies, Inc.|Blue Cross Blue Shield of Virginia (Trigon)|HealthKeepers, Inc.",00423|00923|10049|1413|423|5537|923|BZHRG|CB923|JSB923MA|SB923|SB923MA|SB924|VABCBS|VABLS,VA,COMMERCIAL|MEDICARE|MEDICAID,https://www.anthem.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,INSTANT,dental|medical|vision
2374,2374,Forge Industrial Staffing,J1529,,J1529,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
3316,3316,Navia Benefit Solutions,NAVIA,,NAVIA,,COMMERCIAL,https://www.naviabenefits.com,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,ONE_CLICK,WEEKS,
2034,2034,St. Francis - HCLA by MedPoint,MPM30,MedPOINT Management|St. Francis - Health Care Los Angeles By Medpoint,1059|7886|MPM30,,COMMERCIAL,https://www.medpointmanagement.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,medical
1270,1270,Select Administrative Services,64088,Mississippi Select Health Care|Mississippi Select HealthCare|SAS,3785|64088|SAS1,MS,COMMERCIAL,https://www.selectadministrativeservices.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,MULTI_STEP,HOURS,dental|medical
1189,1189,Insurica,J1204,Abilene Independent School District Run Off|Abilene Independent School District Self Insured|Alamo Heights Independent School District|Aledo Independent School District|Bellville Independent School District|Benavides Independent School District|Big Spring Independent School District|Birdville Independent School District|Brackett Independent School District|Brady Independent School District|Breckenridge Independent School District|Brooks County Independent School District|Brownfield Independent School District|Burleson County Alternative School|Burleson-Milam Cooperative|Caldwell Independent School District|Canyon Independent School District|Carrizo Springs Consolidated Independent School District|Center Point Independent School District|City of Wichita Falls|Clarksville Independent School District|Cotulla Independent School District|Crystal City Independent School District|Dalhart Independent School District|DeSoto Independent School District|Del Valle Independent School District|Denver City Independent School District|Dilley Independent School District|Dumas Independent School District|Duncanville Independent School District|Eagle Mountain-Saginaw Independent School District|Edinburg Consolidated Independent School District|Edward Claims Administration (Texas)|Floresville Independent School District|Forney Independent School District|Fort Sam Houston Independent School District|Frenship Independent School District|Frio County|Gainesville Independent School District|Garner Independent School District|Georgetown Independent School District|Godley Independent School District|Graford Independent School District|Gruver Independent School District|Hidalgo Independent School District|Howard County|Hudspeth County|Huffman Independent School District (ISD)|Junction Independent School District (ISD)|Karnes City Independent School District (ISD)|Kennedale Independent School District (ISD)|La Vernia Independent School District (ISD)|La Villa Independent School District (ISD)|Lackland Independent School District (ISD)|Lago Vista Independent School District (ISD)|Levelland Independent School District (ISD)|Lewisville Independent School District Self Insured|Liberty Eylau Independent School District (ISD)|Marble Falls Independent School District (ISD)|Marlin Independent School District (ISD)|Mercedes Independent School District (ISD)|Mexia Independent School District (ISD)|Midland County|Millsap Independent School District (ISD)|Mission Consolidated Independent School District (CISD)|Mission Consolidated Independent School District (ISD)|Moody Independent School District (ISD)|Morton Independent School District (ISD)|Muleshoe Independent School District (ISD)|Nacogdoches Independent School District (ISD)|Natalia Independent School District (ISD)|New Caney Independent School District (ISD)|Pearsall Independent School District (ISD)|Perryton Independent School District (ISD)|Plains Independent School District (ISD)|Plemons Stinnett Phillips Consolidated Independent School District (CISD)|Poolville Independent School District (ISD)|Poth Independent School District (ISD)|Potter County|Randall County|River Road Independent School District (ISD)|San Angelo Independent School District (ISD)|Seminole Independent School District (ISD)|Silsbee Independent School District (ISD)|Slaton Independent School District (ISD)|Snyder Independent School District (ISD)|Somerset Independent School District (ISD)|Southland Independent School District (ISD)|Southside Independent School District (ISD)|Spearman Independent School District (ISD)|Springtown Independent School District (ISD)|Stockdale Independent School District (ISD)|Stratford Independent School District (ISD)|Sunray Independent School District (ISD)|Tarrant Appraisal District|Uvalde Consolidated Independent School District (CISD)|Weatherford Independent School District (ISD)|Webnburg Consolidated Independent School District (CISD)|Weimar Independent School District (ISD)|White Deer Independent School District (ISD)|Whiteface Consolidated Independent School District (CISD)|Yorktown Independent School District (ISD),J1204,,WORKERS_COMPENSATION,https://insurica.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
2158,2158,Gab Robbins Incorporated,TP117,GAB Robbins Incorporated|GAB Robins (for Van Tuyl Companies Only),TP117,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
3110,3110,ACMG Benefit Administrators,45328,Accountable Care Management Group,45328,,COMMERCIAL,https://www.acmg.md,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,medical
777,777,Fringe Benefit Group,93158,,9101|93158,,COMMERCIAL,https://fbg.com,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,dental|medical
1819,1819,City of Los Angeles,J1536,,J1536,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,medical
3558,3558,Security Life Insurance Company of America,TLX77,,CSLIC|TLX77,,,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,
1541,1541,"Painter's Union Insurance, Pension & Vacation Funds",53483,Painters Union Insurance Fund|Painters Union Pension Fund,53483|8279,,COMMERCIAL,https://portal.issisystems.com/isite189/eremit.dll/18901/cmpub.asp?name=index.htm,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,medical
2553,2553,United Financial Casualty Company,J1789,,J1789,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
2754,2754,Today's Health,A2184,,A2184,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,medical
1054,1054,Esurance Insurance Company,25712,,25712|7563|7761,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
2355,2355,EMI - KP Ambulance Claims,59299,EMI KP Ambulance Claims,59299|8852,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,medical
2435,2435,Matrix Absence Management,TP075,,TP075,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
1415,1415,State Farm Medicare Supplement,10645,State Farm Insurance Companies,10645|J1548,,MEDICARE,https://www.statefarm.com,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,dental|medical
966,966,Alterwood Advantage,RP016,,6008|9167|RP016,MD,MEDICARE_ADVANTAGE|MEDICAID,https://www.alterwoodadvantage.com,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,medical
3478,3478,CCMSI – Workers Compensation,DJVJP,CCMSI (WC),DJVJP,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,INSTANT,
2749,2749,Avanta IPA,2811,Avanta IPA,2811|7950,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,
2671,2671,Employers Insurance (Bunch),J1912,,J1912,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,medical
835,835,Sidecar Health,SDCAR,"Sidecar Health Insurance Solutions, LLC",00415|2139|8535|SDCAR|SIDECAR,,COMMERCIAL,https://sidecarhealth.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,medical|vision
3495,3495,Travelers – Workers Compensation,DKPJV,Travelers (WC),DKPJV,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,INSTANT,
1000,1000,Cottingham and Butler Claims Services Incorporated,J1683,,J1683,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
802,802,Florida Community Care,FLCCR,,1099|8129|FLCCR,FL,MEDICAID,https://fcchealthplan.com,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,medical
1787,1787,Unified Life Insurance,7062,,7062|9445|RP064,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,
2445,2445,Mitchell Energy and Development,J1085,,J1085,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
3620,3620,Movedocs.com llc,LW021,,LW021,,,https://movedocs.com,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,
2385,2385,Great American Insurance Company of New York,22136,,22136,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
1095,1095,USC Health Services,9047P,University of Southern California Health Services,9047P,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,medical
1576,1576,Vivant Health,RCMG1,River City Medical Group,5654|6296|9434|AMM23|DBUAX|RCMG1,,,https://vivanthealth.com,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,medical
2455,2455,National Interstate,32620,,32620,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
2879,2879,Veterans Affairs Financial Services Center,VAFSC,U.S. Department of Veterans Affairs,VAFSC,NATIONAL,,https://www.fsc.va.gov,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,
674,674,Capital Health Plan,95112,CHP|Capital Community Health Plan,"13278|1985|4246|95112|95112, CAPTL|95112MA|CAPTAL",FL,COMMERCIAL|MEDICARE,https://capitalhealth.com,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,MULTI_STEP,WEEKS,medical|vision
2908,2908,Pool Administrators (Oregon Secondary Claims),PAIOR02,PAI|Pool Oregon  - Secondary,3280|PAIOR02|POR02,OR,MEDICAID,https://www.pooladmin.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
871,871,Imperial Health Holdings Medical Group,IHHMG,IHHMG,1295|6560|IHHMG,CA,COMMERCIAL,https://imperialhealthholdings.com,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,medical
2240,2240,THE Insurance,J1791,T H E Insurance,J1791,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
2383,2383,Great American Alliance Insurance Company,26832,,26832,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
2040,2040,Continuum Health Solutions LLC,46478,Empire Dental,46478|7113|7670,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,dental|medical
